"","sensor_number","lat","lon"
"1",1,21.4241615838009,-157.698001374914
"2",2,21.3501656946836,-157.639005062184
"3",3,21.4251615282484,-157.680502468596
"4",4,21.3346665557469,-157.61000687457
"5",5,21.3211673057052,-157.58700831198
"6",6,21.3586652224876,-157.648504468471
"7",7,21.3161675834676,-157.610506843322
"8",8,21.3406662224321,-157.592507968252
"9",9,21.377164194767,-157.650004374727
"10",10,21.2736699444475,-157.54601087432
"11",11,21.2736699444475,-157.556510218111
"12",12,21.2731699722238,-157.604007249547
"13",13,21.2736699444475,-157.614506593338
"14",14,21.2736699444475,-157.623006062121
"15",15,21.2736699444475,-157.63300543716
"16",16,21.4461603616466,-157.695001562402
"17",17,21.4446604449753,-157.70200112493
"18",18,21.4416606116327,-157.708500718705
"19",19,21.4391607505139,-157.715500281232
"20",20,21.4001629170602,-157.675502781076
"21",21,21.3821639170046,-157.668503218549
"22",22,21.3326666668518,-157.629505655897
"23",23,21.3116678334537,-157.629005687145
"24",24,21.2976686111883,-157.637505155928
"25",25,21.298168583412,-157.585508405725
"26",26,21.3086680001111,-157.569509405662
"27",27,21.2736699444475,-157.565009686895
"28",28,21.2736699444475,-157.575009061934
"29",29,21.2736699444475,-157.585008436973
"30",30,21.2736699444475,-157.594007874508
"31",31,21.4076625004166,-157.67650271858
"32",32,21.4076625004166,-157.672502968564
"33",33,21.4076625004166,-157.668503218549
"34",34,21.2916689445031,-157.600507468283
"35",35,21.2916689445031,-157.590508093244
"36",36,21.2916689445031,-157.581508655709
"37",37,21.2916689445031,-157.57150928067
"38",38,21.2916689445031,-157.562509843135
"39",39,21.2916689445031,-157.552510468096
"40",40,21.2916689445031,-157.543511030561
"41",41,21.2916689445031,-157.534511593025
"42",42,21.3091679723349,-157.549010686832
"43",43,21.3946632225987,-157.646504593463
"44",44,21.3261670279429,-157.569509405662
"45",45,21.3676647225154,-157.6305055934
